公告,#genre#
CCTV5,http://227w9f5104.zicp.fun:35455/gaoma/cctv5.m3u8$LR•IPV4『线路7』
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225706/index.m3u8$LR•IPV6『线路1』
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225649/2/index.m3u8$LR•IPV6『线路2』
CCTV5+,http://xsbc.3sbio.com:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路3』
CCTV5+,http://227w9f5104.zicp.fun:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路4』
CCTV5+,http://nas.suntao.online:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路5』
CCTV5+,http://hmjnas.drdjhmj.top:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路6』
CCTV5+,http://b.zgjok.com:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路7』
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225632/2/index.m3u8$LR•IPV6『线路1』
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225632/index.m3u8$LR•IPV6『线路2』
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225650/2/index.m3u8$LR•IPV6『线路3』
CCTV6,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8$LR•IPV4『线路4』
CCTV6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8$LR•IPV4『线路5』
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8$LR•IPV4『线路6』
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8$LR•IPV4『线路7』
CCTV6,http://220.164.192.48:50085/tsfile/live/0007_1.m3u8$LR•IPV4『线路8』
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225624/2/index.m3u8$LR•IPV6『线路1』
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225644/2/index.m3u8$LR•IPV6『线路2』
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225624/index.m3u8$LR•IPV6『线路3』
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225499/2/index.m3u8$LR•IPV6『线路4』
CCTV7,http://36.105.100.208:35455/gaoma/cctv7.m3u8$LR•IPV4『线路5』
CCTV7,http://115.159.35.169:35455/gaoma/cctv7.m3u8$LR•IPV4『线路6』
CCTV7,http://39.77.34.83:35455/gaoma/cctv7.m3u8$LR•IPV4『线路7』
CCTV7,http://www.douzhicloud.site:35455/gaoma/cctv7.m3u8$LR•IPV4『线路8』
CCTV7,http://xsbc.3sbio.com:35455/gaoma/cctv7.m3u8$LR•IPV4『线路9』
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225631/2/index.m3u8$LR•IPV6『线路1』
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225631/index.m3u8$LR•IPV6『线路2』
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225635/2/index.m3u8$LR•IPV6『线路3』
CCTV8,http://[2409:8087:1a01:df::4051]:80/TVOD/88888888/224/3221225795/main.m3u8$LR•IPV6『线路4』
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225626/2/index.m3u8$LR•IPV6『线路5』
CCTV8,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8$LR•IPV4『线路6』
CCTV8,http://36.105.100.208:35455/gaoma/cctv8.m3u8$LR•IPV4『线路7』
CCTV8,http://b.zgjok.com:35455/gaoma/cctv8.m3u8$LR•IPV4『线路8』
CCTV8,http://227w9f5104.zicp.fun:35455/gaoma/cctv8.m3u8$LR•IPV4『线路9』
CCTV8,http://huashetou.fun:35455/gaoma/cctv8.m3u8$LR•IPV4『线路10』
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225646/2/index.m3u8$LR•IPV6『线路1』
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225646/index.m3u8$LR•IPV6『线路2』
CCTV9,http://hmjnas.drdjhmj.top:35455/gaoma/cctv9.m3u8$LR•IPV4『线路3』
CCTV9,http://b.zgjok.com:35455/gaoma/cctv9.m3u8$LR•IPV4『线路4』
CCTV9,http://39.164.160.249:9901/tsfile/live/0009_1.m3u8$LR•IPV4『线路5』
CCTV9,http://nas.suntao.online:35455/gaoma/cctv9.m3u8$LR•IPV4『线路6』
CCTV9,http://3501776.xyz:35455/gaoma/cctv9.m3u8$LR•IPV4『线路7』
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225627/2/index.m3u8$LR•IPV6『线路1』
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225636/2/index.m3u8$LR•IPV6『线路2』
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225496/2/index.m3u8$LR•IPV6『线路3』
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225636/index.m3u8$LR•IPV6『线路4』
CCTV10,http://home.kuaidi521.com:35455/gaoma/cctv10.m3u8$LR•IPV4『线路5』
CCTV10,http://1.itv.nctv.top:1212/gaoma/cctv10.m3u8$LR•IPV4『线路6』
CCTV10,http://3501776.xyz:35455/gaoma/cctv10.m3u8$LR•IPV4『线路7』
CCTV10,http://b.zgjok.com:35455/gaoma/cctv10.m3u8$LR•IPV4『线路8』
CCTV10,http://115.159.35.169:35455/gaoma/cctv10.m3u8$LR•IPV4『线路9』
CCTV11,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225628/index.m3u8$LR•IPV6『线路1』
CCTV11,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225628/2/index.m3u8$LR•IPV6『线路2』
CCTV11,http://112.81.218.254:35455/gaoma/cctv11.m3u8$LR•IPV4『线路3』
CCTV11,http://huashetou.fun:35455/gaoma/cctv11.m3u8$LR•IPV4『线路4』
CCTV11,http://231114.xyz:35455/gaoma/cctv11.m3u8$LR•IPV4『线路5』
CCTV11,http://115.159.35.169:35455/gaoma/cctv11.m3u8$LR•IPV4『线路6』
CCTV11,http://227w9f5104.zicp.fun:35455/gaoma/cctv11.m3u8$LR•IPV4『线路7』
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225637/2/index.m3u8$LR•IPV6『线路1』
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225495/2/index.m3u8$LR•IPV6『线路2』
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225637/index.m3u8$LR•IPV6『线路3』
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225629/2/index.m3u8$LR•IPV6『线路4』
CCTV12,http://39.77.34.83:35455/gaoma/cctv12.m3u8$LR•IPV4『线路5』
CCTV12,http://home.kuaidi521.com:35455/gaoma/cctv12.m3u8$LR•IPV4『线路6』
CCTV12,http://hmjnas.drdjhmj.top:35455/gaoma/cctv12.m3u8$LR•IPV4『线路7』
CCTV12,http://39.164.160.249:9901/tsfile/live/0012_1.m3u8$LR•IPV4『线路8』
CCTV12,http://nas.suntao.online:35455/gaoma/cctv12.m3u8$LR•IPV4『线路9』
CCTV13,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225638/2/index.m3u8$LR•IPV6『线路1』
CCTV13,http://115.159.35.169:35455/gaoma/cctv13.m3u8$LR•IPV4『线路2』
CCTV13,http://112.81.218.254:35455/gaoma/cctv13.m3u8$LR•IPV4『线路3』
CCTV13,http://home.kuaidi521.com:35455/gaoma/cctv13.m3u8$LR•IPV4『线路4』
CCTV13,http://231114.xyz:35455/gaoma/cctv13.m3u8$LR•IPV4『线路5』
CCTV13,http://39.164.160.249:9901/tsfile/live/0013_1.m3u8$LR•IPV4『线路6』
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225639/2/index.m3u8$LR•IPV6『线路1』
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225640/2/index.m3u8$LR•IPV6『线路2』
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225494/2/index.m3u8$LR•IPV6『线路3』
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225640/index.m3u8$LR•IPV6『线路4』
CCTV14,http://39.164.160.249:9901/tsfile/live/0014_1.m3u8$LR•IPV4『线路5』
CCTV14,http://3501776.xyz:35455/gaoma/cctv14.m3u8$LR•IPV4『线路6』
CCTV14,http://227w9f5104.zicp.fun:35455/gaoma/cctv14.m3u8$LR•IPV4『线路7』
CCTV14,http://nas.suntao.online:35455/gaoma/cctv14.m3u8$LR•IPV4『线路8』
CCTV14,http://36.105.100.208:35455/gaoma/cctv14.m3u8$LR•IPV4『线路9』
CCTV15,http://[2409:8087:1a01:df::4033]:80/TVOD/88888888/224/3221226127/main.m3u8$LR•IPV6『线路1』
CCTV15,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225641/index.m3u8$LR•IPV6『线路2』
CCTV15,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225641/2/index.m3u8$LR•IPV6『线路3』
CCTV15,http://227w9f5104.zicp.fun:35455/gaoma/cctv15.m3u8$LR•IPV4『线路4』
CCTV15,http://hmjnas.drdjhmj.top:35455/gaoma/cctv15.m3u8$LR•IPV4『线路5』
CCTV15,http://home.kuaidi521.com:35455/gaoma/cctv15.m3u8$LR•IPV4『线路6』
CCTV15,http://xsbc.3sbio.com:35455/gaoma/cctv15.m3u8$LR•IPV4『线路7』
CCTV15,http://39.164.160.249:9901/tsfile/live/0015_1.m3u8$LR•IPV4『线路8』
CCTV16,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226230/index.m3u8$LR•IPV6『线路1』
CCTV16,http://115.159.35.169:35455/gaoma/cctv16.m3u8$LR•IPV4『线路2』
CCTV16,http://yc.myds.me:35455/gaoma/cctv16.m3u8$LR•IPV4『线路3』
CCTV16,http://huashetou.fun:35455/gaoma/cctv16.m3u8$LR•IPV4『线路4』
CCTV16,http://xsbc.3sbio.com:35455/gaoma/cctv16.m3u8$LR•IPV4『线路5』
CCTV16,http://36.105.100.208:35455/gaoma/cctv16.m3u8$LR•IPV4『线路6』
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225909/2/index.m3u8$LR•IPV6『线路1』
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225909/index.m3u8$LR•IPV6『线路2』
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225907/2/index.m3u8$LR•IPV6『线路3』
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225908/2/index.m3u8$LR•IPV6『线路4』
CCTV17,http://115.159.35.169:35455/gaoma/cctv17.m3u8$LR•IPV4『线路5』
CCTV17,http://36.105.100.208:35455/gaoma/cctv17.m3u8$LR•IPV4『线路6』
CCTV17,http://xiaoya.crccxw.top:35455/gaoma/cctv17.m3u8$LR•IPV4『线路7』
CCTV17,http://xsbc.3sbio.com:35455/gaoma/cctv17.m3u8$LR•IPV4『线路8』
CCTV17,http://hmjnas.drdjhmj.top:35455/gaoma/cctv17.m3u8$LR•IPV4『线路9』
CCTV电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8$LR•IPV4
CCTV第一剧场,http://183.11.239.36:808/hls/133/index.m3u8$LR•IPV4『线路1』
CCTV第一剧场,http://180.213.174.225:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
CCTV第一剧场,http://121.19.134.200:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV第一剧场,http://180.213.174.225:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV第一剧场,http://60.7.56.33:4000/udp/239.253.93.138:6428$LR•IPV4『线路5』
CCTV风云剧场,http://121.19.134.200:808/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4
CCTV怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8$LR•IPV4『线路1』
CCTV怀旧剧场,http://t8622699o8.vicp.fun:60024/tptv/G_NVXINGSS-CQ.m3u8$LR•IPV4『线路2』
CCTV怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8$LR•IPV4『线路3』
CCTV怀旧剧场,http://121.19.134.200:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路4』
CCTV怀旧剧场,http://180.213.174.225:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV风云足球,http://183.11.239.36:808/hls/11/index.m3u8$LR•IPV4『线路1』
CCTV风云足球,http://111.61.236.247:9081/hls/58/index.m3u8$LR•IPV4『线路2』
CCTV风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8$LR•IPV4『线路3』
CCTV央视台球,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8$LR•IPV4『线路1』
CCTV央视台球,http://36.129.204.117:9003//hls/71/index.m3u8$LR•IPV4『线路2』
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8$LR•IPV4『线路1』
CCTV世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8$LR•IPV4『线路2』
CCTV世界地理,http://36.129.204.117:9003//hls/78/index.m3u8$LR•IPV4『线路3』
CCTV世界地理,http://60.7.56.33:4000/udp/239.253.92.113:8066$LR•IPV4『线路4』
CCTV世界地理,http://180.213.174.225:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路5』
CCTV世界地理,http://58.243.224.244:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路6』
CCTV女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8$LR•IPV4『线路1』
CCTV女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8$LR•IPV4『线路2』
CCTV女性时尚,http://180.213.174.225:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV风云音乐,http://121.19.134.200:808/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4
📡  卫视频道,#genre#
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$LR•IPV4
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw$LR•IPV4『线路1』
凤凰中文,P2p://starvod.xyz:19806/5299589f7105498cb0ba0e2c6355de74$LR•IPV4『线路2』
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk$LR•IPV4『线路1』
凤凰香港,P2p://starvod.xyz:19806/c4b31f19f7444cb9b283faa6e9fc1733$LR•IPV4『线路2』
湖南卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225704/index.m3u8$LR•IPV6『线路1』
湖南卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225704/2/index.m3u8$LR•IPV6『线路2』
湖南卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225745/2/index.m3u8$LR•IPV6『线路3』
湖南卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225490/2/index.m3u8$LR•IPV6『线路4』
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8$LR•IPV4『线路5』
湖南卫视,http://39.164.160.249:9901/tsfile/live/0128_1.m3u8$LR•IPV4『线路6』
湖南卫视,http://58.57.40.22:9901/tsfile/live/1028_1.m3u8$LR•IPV4『线路7』
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8$LR•IPV4『线路8』
湖南卫视,http://175.31.21.146:4480/hls/36/index.m3u8$LR•IPV4『线路9』
浙江卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225744/2/index.m3u8$LR•IPV6『线路1』
浙江卫视,http://[2409:8087:1a01:df::4043]:80/TVOD/88888888/224/3221225959/main.m3u8$LR•IPV6『线路2』
浙江卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225703/index.m3u8$LR•IPV6『线路3』
浙江卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225491/2/index.m3u8$LR•IPV6『线路4』
浙江卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225703/2/index.m3u8$LR•IPV6『线路5』
浙江卫视,http://58.57.40.22:9901/tsfile/live/1029_1.m3u8$LR•IPV4『线路6』
浙江卫视,https://s1.abntelevision.com/avivamientoabr/stream/avivamientohd/avivamientohd/chunks.m3u8$LR•IPV4『线路7』
浙江卫视,http://112.46.85.60:8009/hls/34/index.m3u8$LR•IPV4『线路8』
浙江卫视,http://175.31.21.146:4480/hls/28/index.m3u8$LR•IPV4『线路9』
浙江卫视,http://110.53.52.63:8888/newlive/live/hls/23/live.m3u8$LR•IPV4『线路10』
东方卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225489/2/index.m3u8$LR•IPV6『线路1』
东方卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225659/2/index.m3u8$LR•IPV6『线路2』
东方卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225659/index.m3u8$LR•IPV6『线路3』
东方卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225658/2/index.m3u8$LR•IPV6『线路4』
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8$LR•IPV4『线路5』
东方卫视,http://39.164.160.249:9901/tsfile/live/0107_1.m3u8$LR•IPV4『线路6』
东方卫视,http://58.57.40.22:9901/tsfile/live/1030_1.m3u8$LR•IPV4『线路7』
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8$LR•IPV4『线路8』
东方卫视,http://220.164.192.48:50085/tsfile/live/0122_1.m3u8$LR•IPV4『线路9』
北京卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225600/2/index.m3u8$LR•IPV6『线路1』
北京卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225673/2/index.m3u8$LR•IPV6『线路2』
北京卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225674/index.m3u8$LR•IPV6『线路3』
北京卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225674/2/index.m3u8$LR•IPV6『线路4』
北京卫视,http://39.164.160.249:9901/tsfile/live/0122_1.m3u8$LR•IPV4『线路5』
北京卫视,http://58.57.40.22:9901/tsfile/live/1032_1.m3u8$LR•IPV4『线路6』
北京卫视,http://110.53.52.63:8888/newlive/live/hls/18/live.m3u8$LR•IPV4『线路7』
北京卫视,http://36.32.174.67:60080/newlive/live/hls/25/live.m3u8$LR•IPV4『线路8』
北京卫视,http://ms.fxim.net:808/hls/22/index.m3u8$LR•IPV4『线路9』
江苏卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225488/2/index.m3u8$LR•IPV6『线路1』
江苏卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225702/2/index.m3u8$LR•IPV6『线路2』
江苏卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225702/index.m3u8$LR•IPV6『线路3』
江苏卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225743/2/index.m3u8$LR•IPV6『线路4』
江苏卫视,http://39.164.160.249:9901/tsfile/live/0127_1.m3u8$LR•IPV4『线路5』
江苏卫视,http://220.164.192.48:50085/tsfile/live/0128_1.m3u8$LR•IPV4『线路6』
江苏卫视,http://58.57.40.22:9901/tsfile/live/1031_1.m3u8$LR•IPV4『线路7』
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8$LR•IPV4『线路8』
江苏卫视,http://112.46.85.60:8009/hls/33/index.m3u8$LR•IPV4『线路9』
江西卫视,http://[2409:8087:1a01:df::4027]:80/TVOD/88888888/224/3221225935/main.m3u8$LR•IPV6『线路1』
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225492/index.m3u8?fmt=ts2hls$LR•IPV6『线路2』
江西卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8$LR•IPV4『线路3』
江西卫视,http://58.57.40.22:9901/tsfile/live/1043_1.m3u8$LR•IPV4『线路4』
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8$LR•IPV4『线路5』
江西卫视,http://110.53.52.63:8888/newlive/live/hls/41/live.m3u8$LR•IPV4『线路6』
江西卫视,http://ms.fxim.net:808/hls/25/index.m3u8$LR•IPV4『线路7』
江西卫视,http://php.jdshipin.com:8880/jxtv2.php?id=1$LR•IPV4『线路8』
江西卫视,http://local-live.jxtvcn.com.cn/live/tv_jxtv1.m3u8$LR•IPV4『线路9』
江西卫视,http://local-live.jxtvcn.com.cn/live/tv_jxtv1.flv$LR•IPV4『线路10』
江西卫视,rtmp://local-live.jxtvcn.com.cn/live/tv_jxtv1$LR•IPV4『线路11』
江西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226656/46275837.smil$LR•IPV4『线路12』
江西卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221226656/46275837.smil$LR•IPV4『线路13』
江西卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226656/46275837.smil$LR•IPV4『线路14』
安徽卫视,http://39.164.160.249:9901/tsfile/live/0130_1.m3u8$LR•IPV4『线路1』
安徽卫视,http://220.164.192.48:50085/tsfile/live/0126_1.m3u8$LR•IPV4『线路2』
安徽卫视,http://58.57.40.22:9901/tsfile/live/1033_1.m3u8$LR•IPV4『线路3』
安徽卫视,http://43.129.81.169/live.ahsx.ahtv.cn/live/ahwssx.m3u8$LR•IPV4『线路4』
安徽卫视,http://110.53.52.63:8888/newlive/live/hls/24/live.m3u8$LR•IPV4『线路5』
重庆卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225734/2/index.m3u8$LR•IPV6『线路1』
重庆卫视,http://58.57.40.22:9901/tsfile/live/0142_1.m3u8$LR•IPV4『线路2』
